"ref_area.label","indicator.label","source.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Female","Disability status (Aggregate): Persons without disability","Currency: 2017 PPP $","2021",616.11,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Female","Disability status (Aggregate): Persons without disability","Currency: U.S. dollars","2021",208.84,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Total","Disability status (Aggregate): Total","Currency: Local currency","2020",121584.72,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Total","Disability status (Aggregate): Total","Currency: 2017 PPP $","2020",728.94,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Total","Disability status (Aggregate): Total","Currency: U.S. dollars","2020",248.63,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons with disability","Currency: Local currency","2020",95940.61,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons with disability","Currency: 2017 PPP $","2020",575.2,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons with disability","Currency: U.S. dollars","2020",196.19,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons without disability","Currency: Local currency","2020",122485.17,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons without disability","Currency: 2017 PPP $","2020",734.34,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons without disability","Currency: U.S. dollars","2020",250.48,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Male","Disability status (Aggregate): Total","Currency: Local currency","2020",143407.88,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Male","Disability status (Aggregate): Total","Currency: 2017 PPP $","2020",859.78,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Male","Disability status (Aggregate): Total","Currency: U.S. dollars","2020",293.26,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Male","Disability status (Aggregate): Persons with disability","Currency: Local currency","2020",102627.87,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Male","Disability status (Aggregate): Persons with disability","Currency: 2017 PPP $","2020",615.29,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Male","Disability status (Aggregate): Persons with disability","Currency: U.S. dollars","2020",209.87,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Male","Disability status (Aggregate): Persons without disability","Currency: Local currency","2020",145225.8,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Male","Disability status (Aggregate): Persons without disability","Currency: 2017 PPP $","2020",870.68,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Male","Disability status (Aggregate): Persons without disability","Currency: U.S. dollars","2020",296.98,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Female","Disability status (Aggregate): Total","Currency: Local currency","2020",100579.37,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Female","Disability status (Aggregate): Total","Currency: 2017 PPP $","2020",603.01,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Female","Disability status (Aggregate): Total","Currency: U.S. dollars","2020",205.68,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Female","Disability status (Aggregate): Persons with disability","Currency: Local currency","2020",85166.89,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Female","Disability status (Aggregate): Persons with disability","Currency: 2017 PPP $","2020",510.6,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Female","Disability status (Aggregate): Persons with disability","Currency: U.S. dollars","2020",174.16,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Female","Disability status (Aggregate): Persons without disability","Currency: Local currency","2020",100982.61,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Female","Disability status (Aggregate): Persons without disability","Currency: 2017 PPP $","2020",605.43,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Female","Disability status (Aggregate): Persons without disability","Currency: U.S. dollars","2020",206.5,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
